name,seller,category,region,offering_type,update_frequency,description,price
Whiskeys of the World,John Doe,"Food, Dining",World,1,0,Comprehensive list of every whiskey produced in the world. Great data for populating whiskey related databases or conducting market research in the distilling industry.,100
NASDAQ 100 One Minute Bars,Algoseek,Economic,US,2,1,Intraday quotes for all stocks in the NASDAQ 100 Index. Trade-based minute bars showing OHLCV for every stock every day. Includes all index changes,80
Zacks Insider Metrics,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Aggregated data about the holdings and number of shares traded in open market buy and sell transactions by company insiders, with officers and directors tracked separately over different time periods. Updated daily",120
Complete List of 99 Ichiba Japan Locations,AggData,Location Lists,Japan,1,0,"This is a complete list of 99 Ichiba Japan locations along with their geographical coordinates. 99 Ichiba Japan provides customers with convenience store foods, drinks, and more. Whether a quick stop before work or school, or a late night snack, 99 Ichiba Japan has it all. The data includes phone numbers and store hours for each location",59
NASDAQ Stock Market Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all NASDAQ stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Exchange-Traded Fund Assets and Share Issuance,Invesment Company Institute,"Banks, Insurance, Financial Services",US,2,1,"Data on assets, share issuance, redemptions and number of ETFs by investment objective",30
Complete List of 7-Eleven México Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of 7-Eleven México locations along with their geographical coordinates. 7-Eleven México is part of an international chain of convenience stores. 7-11’s are usually operated as franchise locations. They are headquartered in Dallas, Texas and are known for their Slurpees and Big Gulps. The data includes address information for each location",94
BTC-BCH Granular Trading Data,cryptohistory,Economic,World,1,0,Granular (about every 5 seconds) trading data from the BTC-BCH market on Bittrex exchange.,200
US Industry Aggregates,Equity Analytix,"Business, Distribution, E-commerce",US,2,2,"Updated weekly, this database provides aggregate fundamental indicators for a wide selection of market sectors/industries and groups of publicly traded U.S. stocks",35
Frankfurt Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Frankfurt,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Frankfurt Stock Exchange, including delisted ones. Data from Exchange Data International",50
ORATS Smoothed Options Market Quotes,Option Research and Technology Services,"Banks, Insurance, Financial Services",US,2,1,Backtest ready options bid and ask quotes with powerful analytics on all US equity options back to 2013,200
Complete List of Inter Discount Switzerland Locations,AggData,Location Lists,Switzerland,1,0,"This is a complete list of Inter Discount Switzerland locations along with their geographical coordinates. Inter Discount Switzerland is an electronics store that sells for less. They offer a wide selection of items to their customers that range from MP3 players to HDTVs. Some of their brands include: Samsung, Lenovo, Apple, Nintendo, and SONY. The data includes phone numbers and store hours for each location",67
Complete List of Carmike Cinemas Locations,AggData,Location Lists,US,1,0,This is a complete list of all Carmike Cinemas movie theater locations in the USA and their geographic coordinates. Carmike theaters are largely positioned in rural or suburban areas. Most of its older theaters are six or eight auditoriums deep. ​AMC Entertainment acquired Carmike Cinemas in December 2016,99
ORATS Option Volatility Surfaces,Option Research and Technology Services,"Banks, Insurance, Financial Services",US,2,1,Implied and historical volatility measures of all US equity options.,50
Complete List of Briggs & Stratton Locations,AggData,Location Lists,World,1,0,"This is a complete list of Briggs & Stratton locations along with their geographical coordinates. Briggs & Stratton, based out of Milwaukee, Wisconsin is one of the world’s largest producers of gasoline engines for outdoor power equipment",99
Complete List of Darty France Locations,AggData,Location Lists,France,1,0,"This is a complete list of Darty France locations along with their geographical coordinates. Darty France is an electronics and housewares chain with over 260 locations throughout France. They offer their customers a “click & collect” program, where you can do your shopping online, then, one hour later you can pick your purchases up in your local store. They offer a huge selection of items such as computers & tablets, cameras, TVs, mobile phones, GPS units, kitchen supplies, and much more.",74
Bombay Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",India,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all Bombay Stock Exchange stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Munich Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Munich,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Börse München, including delisted ones. Data from Exchange Data International",50
US Corporate Bond Prices,"7 Chord, Inc.","Banks, Insurance, Financial Services",US,2,1,"This data feed contains AI-generated intraday bid and ask levels for over 8,000 US corporate bonds with a history dating back to 2012",1000
Complete List of Buffalo Wild Wings Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of all Buffalo Wild Wings locations, along with their geographic coordinates. Buffalo Wilds Wing is a casual dining restaurant and sports bar franchise in the United States. Their menu features its wings and 14 signature sauces, as well as salads, sandwiches, chicken, ribs, burgers, wraps, kids' meals, and desserts",99
Complete List of Fnac Spain Locations,AggData,Location Lists,Spain,1,0,"This is a complete list of Fnac Spain locations along with their geographical coordinates. Fnac is a general merchandise store that carries an enormous range of products. They offer toys, books, video games, home electronics and much more including their own e-reader the Kobo. This data includes addresses for each location",59
Zacks Fundamentals Collection B,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"200+ fundamental indicators, including income statement, balance sheet, cash flow line items and precalculated ratios, for over 17,000 US and Canadian Equities, including 9,000+ delisted stocks. Financial statement items are mapped to a single industrial statement template.",120
FinSentS Web News Sentiment,Infotrie,"Banks, Insurance, Financial Services",World,2,1,"Daily news sentiment indicators for 30,000+ stocks since 2013, derived from the publicly available internet sources",40
Complete List of Expert Italy Locations,AggData,Location Lists,Italy,1,0,"This is a complete list of Expert Italy locations along with their geographical coordinates. Expert sells electronics and appliances for all your needs. Whether the newest Smart TV, IPad, dryer, dishwasher, or KitchenAid Mixer, Expert has it all. This data includes phone numbers and addresses for each location",74
Complete List of Aéropostale Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of all Aéropostale clothing store locations, along with their geographic coordinates. Aeropostale is an American retail chain that sells casual clothing and accessories. Aéropostale targets primarily 14 to 17 year olds. Aeropostale was started in New York City in 1987.  This list also contains the new P.S. from Aéropostale stores which sell clothing for kids ages 4-12",74
Zacks Institutional Holdings History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers historical holdings information for over 10,000 institutions going back to 2012",120
Barchart End of Day DOW Index Prices,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Open, high, low and close prices for a variety of DOW indexes, with history as far back as 2006.",60
Core US Fundamentals Data,Sharadar,"Banks, Insurance, Financial Services",US,2,4,"Up to 20 years of history, and growing, for more than 14,000 companies and 150 indicators. Active & Delisted. Point-in-time. Incl/Excl Restatements.",29
Continuous Futures,Stevens Analytics,"Banks, Insurance, Financial Services",North America,2,1,Professional-grade long-term chained histories for 78 futures contracts accounting for 90% of US trading volume. Choice of roll and price rules. Updated daily.,49
Hong Kong Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Hong Kong,2,1,"EOD stock prices, dividends, adjustments and splits for all Hong Kong Stock Exchange stocks, including delisted ones. Data from Exchange Data International",50
Euronext Lisbon Stock Prices,Exchange Data International,"Banks, Insurance, Financial Services",Lisbon,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Euronext Lisbon, including delisted ones. Data from Exchange Data International",50
Global Yield Curves,Stevens Analytics,"Banks, Insurance, Financial Services",World,2,1,"Government bond yield curves from 32 countries, representing the entire term structure of interest rates. Updated daily",30
Chinese Equity Factor Data,Datayes,"Banks, Insurance, Financial Services",Canada,2,1,Historical data from 2011 to present on 256 essential financial ratios for Chinese public companies (including delisted companies) trading on the Shanghai and Shenzhen exchanges,150
Complete List of AMC Entertainment Locations,AggData,Location Lists,US,1,0,"This is a complete list of all AMC Entertainment movie theater locations in the US and Canada, and their geographic coordinates. AMC is the second largest movie theatre chain in North America",99
ETF Global Proprietary Analytics,ETF Global,"Banks, Insurance, Financial Services",US,2,1,"Risk and reward factors: momentum, valuation, macro views on sectors and countries, volatility, deviation, liquidity and efficiency. Qualitative measures: liquidity, diversification and issuing firm. History to 2014",40
Georgia Attorneys,ProFirst Marketing,Mailling Lists,Georgia,1,0,"Recently verified (1/5/18) list of attorneys in the state of Georgia. We guaranty our list and will replace any emails that bounce from this list. This list includes all the attorneys in the Atlanta area. If are interested in a smaller numbe rof attorney contacts, please contact us in Ask a Question. ",499
Complete List of Ben Bridge Jeweler Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of all Ben Bridge Jeweler locations.  Ben Bridge Jewelers carries amazing jewelry, and with a century of experience it is no surprise. With Ikuma, Mikimoto, A.Jaffe, and Ben Bridge's own Flawless and Signature lines, you are sure to find the perfect gift for the one you love.  Ben Bridge Jeweler is a Berkshire Hathaway Co",59
Reference Futures,Stevens Analytics,"Banks, Insurance, Financial Services",US,2,1,Professional-grade futures prices for 50 futures contracts accounting for 90% of US trading volume with up to 50 years of history. Updated daily.,50
Volatility and Risk Factors,Snowfall Systems,"Banks, Insurance, Financial Services",US,2,1,"Volatility and other risk factors metrics for 9,000+ financial instruments traded on major US exchanges, including stocks, stock indices and ETFs",100
Xetra Stock Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Xetra trading venue, including delisted ones. Data from Exchange Data International.",50
Chinese Stock Prices,Datayes,Economic,China,2,1,"Historical stock price data for all Chinese public companies (including delisted ones) trading on the Shanghai and Shenzhen exchanges, with history going back to 1997",50
Complete List of Office Depot Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Office Depot office supply locations in the US, along with their geographic coordinates. Office Depot is a supplier of office products and services. The company's selection of brand name office supplies includes business machines, computers, computer software and office furniture, while its business services encompass copying, printing, document reproduction, mailing and shipping",99
Complete List of Bottega Veneta Locations,AggData,Location Lists,World,1,0,"This is a complete list of Bottega Veneta locations along with their geographical coordinates. Bottega Veneta locations create fashionable handbags, leather goods, ready to wear clothing, shoes, and other accessories and scarves",74
Complete List of Cinema City Locations,AggData,Location Lists,US,1,0,"This is a complete list of Cinema City locations, along with their geographic coordinates. Cinema City is a theatre brand of Cineplex Entertainment",67
Zillow Rent Index,Zillow,Economic,US,1,0,"The Zillow Rent Index is the median estimated monthly rental price for a given area, and covers multifamily, single family, condominium, and cooperative homes in Zillow’s database, regardless of whether they are currently listed for rent. It is expressed in dollars and is seasonally adjusted. The Zillow Rent Index is published at the national, state, metro, county, city, neighborhood, and zip code levels. Zillow produces rent estimates (Rent Zestimates) based on proprietary statistical and machine learning models. Within each county or state, the models observe recent rental listings and learn the relative contribution of various home attributes in predicting prevailing rents. These home attributes include physical facts about the home, prior sale transactions, tax assessment information and geographic location as well as the estimated market value of the home (Zestimate). Based on the patterns learned, these models estimate rental prices on all homes, including those not presently for rent. Because of the availability of Zillow rental listing data used to train the models, Rent Zestimates are only available back to November 2010; therefore, each ZRI time series starts on the same date.",0
Toronto Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Canada,2,1,"EOD stock prices, dividends, adjustments and splits for all Toronto Stock Exchange (TSX) stocks, including delisted ones. Data from Exchange Data International",50
New York Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",US,2,1,"Professional-grade EOD stock prices, dividends, adjustments and splits for all New York Stock Exchange stocks. Updated daily. History to 2007. Data from Exchange Data International",50
Core US Institutional Investors Data,Sharadar,"Banks, Insurance, Financial Services",US,2,3,"A simple interface to 5 years of harmonized holdings data for 20,000 issuers and 6,000 investors",49
Complete List of Bangchak Thailand Locations,AggData,Location Lists,Thailand,1,0,This is a complete list of Bangchak Thailand locations along with their geographical coordinates. Bangchak is a gas station and convenience store. This data includes phone numbers and addresses for each location,59
Dow Jones Industrial Average One Minute Bars,Algoseek,Economic,US,2,1,Intraday quotes for all stocks in the Dow Jones Industrial Average (DJIA). Trade-based minute bars showing OHLCV for every stock every day. Includes all index changes,25
Euronext Paris Stock Prices,Exchange Data International,"Banks, Insurance, Financial Services",Paris,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Euronext Paris, including delisted ones. Data from Exchange Data International",50
Estimated Long-Term Mutual Fund Flows,Invesment Company Institute,"Banks, Insurance, Financial Services",US,2,1,"Aggregate estimates of net new cash flows to equity, bond, and hybrid funds. History goes back to 2007",25
Barchart Montreal Exchange Futures,Barchart,"Banks, Insurance, Financial Services",Montreal,2,1,"Updated daily, this database offers futures prices for 14 contracts traded on the Montreal Exchange. Data history goes back to 1990.",85
Complete List of Brake Masters Locations,AggData,Location Lists,US,1,0,"This is a complete list of Brake Masters locations along with their geographical coordinates. Brake Masters provide alignment, air conditioning service, express lube, cooling and other system flushes, electrical and drive train maintenance, and much more",59
Complete List of Gruppo Papino Italy Locations,AggData,Location Lists,Italy,1,0,"This is a complete list of Gruppo Papino Italy locations along with their geographical coordinates. Gruppo Papino Italy started out in 1979 as a large appliance store. Papino stores have now grown to include audio/video, small appliances, phones, computers, cameras and home entertainment",59
Complete List of BP UK Locations,AggData,Location Lists,UK,1,0,"This is a complete list of BP UK locations along with their geographical coordinates. BP UK is a fuel service station chain. Many of the service stations have truck stops, shops, and cafes. The data includes addresses",94
Shenzhen Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",China,2,1,"EOD stock prices, dividends, adjustments and splits for all Shenzhen Stock Exchange stocks, including delisted ones. Data from Exchange Data International",50
Money Market Fund Assets,Invesment Company Institute,"Banks, Insurance, Financial Services",US,2,1,"Data on money market funds' assets, covering both retail and institutional funds. History goes back to 2007",25
Berlin Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Berlin,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Börse Berlin, including delisted ones. Data from Exchange Data International",50
Complete List of Argos UK Locations,AggData,Location Lists,UK,1,0,"This is a complete list of Argos UK locations along with their geographical coordinates. Argos UK sells the best in home products. Whether home entertainment, jewelry, clothing, baby supplies, gifs, or home and garden, Argos has it all",94
Complete List of BIG W Australia Locations,AggData,Location Lists,Australia,1,0,"This is a complete list of BIG W Australia locations along with their geographical coordinates. BIG W Australia sells everything you need to help children learn and play. They have thousands of toys, from educational to computer oriented. They sell electronics, school supplies, as well as toys, computers, electronics, and clothing. The items you need to help your kids be successful, can be found at BIG W",67
Barchart End of Day TSX Index Prices,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Open, high, low and close prices for a variety of TSX indexes, with history as far back as 2000",60
Complete List of Deacons Kenya Locations,AggData,Location Lists,Kenya,1,0,"This is a complete list of Deacons Kenya locations along with their geographical coordinates. Deacons Kenya is an umbrella company that owns and operates several retail brands throughout Kenya, Uganda, and Rwanda. Their brands include ADDIDAS, Angelo, Life Fitness, and 4U2",59
Zacks Expanded Fundamental Ratios,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated weekly, this database contains over 150 financial ratios showing historical trends in Growth, Management Effectiveness, Financial Strength and Valuation",180
Complete List of Midas Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of all Midas auto repair locations along with their geographic coordinates. Midas, Inc. is a chain of automotive service centers headquartered in Itasca, Illinois. In 1956 The Muffler Installation Dealers' Associated Service (M.I.D.A.S.) was established by Nate H. Sherman and the first Midas Muffler opened that year in Macon Georgia. The chain was originally known as Midas Muffler as they specialized in the replacement of mufflers. In recent years, they have marketed themselves as Auto Service Experts, as they are capable of performing most routine and common automobile service, including brakes, fluid changes, and suspensions",94
Complete List of AAMCO Transmissions Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of all AAMCO Transmissions locations along with their geographic coordinates. AAMCO is an American transmission-repair franchise founded by Robert Morgan and Anthony A. Martino (who used the first letter of each name to form the names AAMCO and later MAACO) during 1963 in Philadelphia, Pennsylvania",89
Complete List of Carrefour Europe Locations,AggData,Location Lists,Europe,1,0,"This is a complete list of Carrefour Europe locations along with their geographical coordinates. Carrefour Europe is based in Belgium, and is a direct subsidiary of Carrefour France. they have a similarly wide selection, and stated in a recent press release that they carry over 2,000,000 different items such as foods, home electronics, home improvement, clothing, and more in their stores",89
Complete List of ALDI Belgium Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of ALDI Belgium locations along with their geographical coordinates. ALDI Belgium is the Belgian branch of the German based supermarket chain. They have been in business since 1914, and presently have over 450 stores throughout Belgium. They focus on having a more narrow selection of brands and products in order to keep prices low. In addition to all your usual grocery items, they carry various home electronics and appliances, kitchen wares, and health and beauty products",74
Zacks Sales Surprises,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers historical estimated and actual reported sales, with surprises calculations, for over 5,000 US and Canadian listed companies as compiled by Zacks Research going as far back as 2000.",120
Complete List of Costco Wholesale UK Locations,AggData,Location Lists,UK,1,0,"This is a complete list of Costco Wholesale UK locations along with their geographic coordinates. Costco Wholesale Corporation is a membership warehouse club chain. Costco focuses on selling products at low prices, often at very high volume. These goods are usually bulk-packaged and marketed primarily to large families and businesses. This data includes phone numbers and addresses",59
Zacks Earnings Estimates,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers consensus earnings estimates for over 5,000 US and Canadian listed companies as compiled by Zacks Research",120
Complete List of Tire Rack Locations,AggData,Location Lists,US,1,0,"This is a complete list of Tire Rack locations along with their geographical coordinates. Tire Rack has been in love with tires since 1979. They carry tires from all the major brands as well as parts and accessories for brakes, suspension, lighting, and much more. Their services include delivery and installation. This data includes phone numbers and addresses for each location",99
Indian Equities Adjusted End of Day Prices,Tricolor Data,"Banks, Insurance, Financial Services",India,2,1,"Professionally curated EOD prices adjusted for splits, bonuses and rights issues for stocks listed on the NSE of India. Price history available since 2000",60
ClosingBell Active Analyst Ratings,Closingbell,Economic,US,2,1,"Crowdsourced stock ratings and recommendations for over 6,000 publicly traded companies in the U.S",90
Complete List of Canal Ocio Spain Locations,AggData,Location Lists,Spain,1,0,"This is a complete list of Canal Ocio Spain locations along with their geographical coordinates. Canal Ocio Spain is a chain of stores, as well as online services that specializes in buying, selling, or renting new and used movies and video games. Whether it be a DVD, Blu-Ray, Wii, XBOX, or PlayStation, they have you covered",59
Mississippi Attorneys,ProFirst Marketing,Mailling Lists,Mississippi,1,0,"Recently verified (1/5/18) list of attorneys in the State of Mississippi. We guaranty our list and will replace any emails that bounce from this list. Whether you are marketing to Mississippi attorneys, looking for a new job, or performing market research our list provides the mailing address, phone, and email address you need to run any kind of campaign. Please send us any questions you have about our list and we will respond shortly.",100
MarketWorks CME Futures Settlement Prices,Applied Research,"Banks, Insurance, Financial Services",US,2,1,"Daily settlement prices for every futures contract settled at CME Group exchanges (CME, CBT, NYMEX, and COMEX) going back to 2012.",100
YData Basic Events History,Ydata,"Business, Distribution, E-commerce",World,2,3,"Events data for 2,200+ US, Canadian and foreign companies. Events include earnings releases and earnings conference calls. History to 2005",180
ETF Fund Flows,ETF Global,"Banks, Insurance, Financial Services",US,2,1,Daily net fund flows that is driven by the ETF creation and redemption process. Reflects the actual capital being added to or withdrawn from the ETF. Includes shares outstanding and NAV. History to 2014,70
Complete List of Navistar Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Navistar supplier network locations. Navistar, Inc. is a holding company who provides transportation solutions by owning MaxxForce, IC Bus & Workhorse, they manufacturer companies that produce diesel engines, school buses, commercial trucks, and chassis for step vans and motor homes. They manufacture engines for pickups, vans, and some SUV's. They also supply engine parts and services throughout the country. The data includes addresses for each location",59
RealVol Indices,RealVol,Economic,World,2,1,"This database contains RealVol Indices for equities, currencies, commodities and other asset classes",50
Chinese Futures Data,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Data on commodity futures trading on several Chinese exchanges, with history to 2004",50
Texas Public & Private Schools,lead_mench,Location Lists,Texas,1,0,"Complete list of public (including charter) and private schools in the State of Texas. Private school list incudes daycare, after school programs, and preschools. Complete contact information including address, point of contact (principal, owner, manager, etc.), email, website, and phone. Data was derived from State of Texas Education Agency and web scraping Texas Private School Accrediation Commission website and indiivudal schools sites. Information is current as of November 2017. Excellent for anyone doing marketing to Texas schools or research on Texas education.",200
Japan Exchange Group Prices,Exchange Data International,"Banks, Insurance, Financial Services",Japan,2,1,"EOD stock prices, dividends, adjustments and splits for all Japan Exchange Group stocks, including delisted ones. Data from Exchange Data International",50
Complete List of Canadian Kawasaki Motors Locations,AggData,Location Lists,Canada,1,0,"This is a complete list of Canadian Kawasaki Motors locations along with their geographical coordinates. Canadian Kawasaki Motors is the Canadian branch of Kawasaki Motors. They focus on several lines of motorcycles. Their lines include off-road, motocross, street, touring, and super-sport cycles",67
Sharadar Core US Equities Bundle,Sharadar,"Banks, Insurance, Financial Services",US,2,4,"Comprised of four Sharadar products - Core US Fundamentals data, Institutional Investors, Core US Insiders Data, and Equity Prices.",49
Barchart Minneapolis Grain Exchange Futures,Barchart,"Banks, Insurance, Financial Services",Minneapolis,2,1,"Updated daily, this product offers futures prices for 9 commodities traded on the MGEX Exchange. Data is updated daily at 6PM ET, with history going back to 1990",85
